gene,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
STK38L,-0.8324400054560452,7.767191345976591e-14,4.670635165815732e-13,12.330624055140209,Not Significant
STK39,-1.3928891674406947,3.484317113938333e-18,7.386610354171917e-17,16.131554809534066,Down
STK4,0.6447221108253057,1.0443762448173782e-06,2.347929229439328e-06,5.62931499759784,Not Significant
STMN1,-1.65727606590426,3.695471520540919e-12,1.699035470729259e-11,10.769797554279169,Down
STMN2,-2.322118457365353,4.5013377707794416e-14,2.8259604858892163e-13,12.548833914985778,Down
STMN3,-1.927090523816142,8.873743914552388e-19,2.4500477561425943e-17,16.610825450318295,Down
STMN4,-1.7512413667265756,3.538841325243467e-10,1.2365155875951409e-09,8.907800404523964,Down
STN1,0.2938476982577785,0.010488730056408239,0.014346542859021465,1.8432527399151262,Not Significant
STOM,0.3245726235814139,0.021319422715383327,0.027987624043943126,1.5530339685721584,Not Significant
STOML2,-0.3709971870042664,0.001516225786737433,0.0023137947828983933,2.635675162500546,Not Significant
STON1,1.0233043252524512,3.37436241993657e-08,9.15157332702443e-08,7.0385042361514065,Up
STON2,0.04148665401507496,0.7125168176403466,0.7397354433291808,0.13092357222209502,Not Significant
STOX2,-0.6565165490602025,2.7297390869960996e-08,7.473396674524567e-08,7.126481965557954,Not Significant
STRADA,-1.0719722772605262,3.638890804235389e-16,3.757660156873627e-15,14.425082500091909,Down
STRADB,0.026274028558688628,0.8180056313520262,0.8364889101820651,0.07753981235688877,Not Significant
STRAP,-0.47543463075519155,6.528974936440492e-09,1.9395005740128162e-08,7.712310087530508,Not Significant
STRBP,-0.010171349354038628,0.9156465608316764,0.9245482654680318,0.03407041183927645,Not Significant
STRIP1,-0.35058303050562367,1.6257409221586244e-09,5.189309186982251e-09,8.28489045260437,Not Significant
STRIP2,-0.5627797545720212,5.07807501767773e-06,1.046065364318375e-05,4.980441177346507,Not Significant
STRN,-0.6794849760185872,6.298447918106451e-17,8.174631468774321e-16,15.087531817222466,Not Significant
STRN3,-0.48850618139460683,5.389860067318525e-09,1.613547697460987e-08,7.792218192058692,Not Significant
STRN4,-0.14139968773932968,0.03648070000967027,0.046410120557401346,1.3333873034330244,Not Significant
STT3A,1.1696860899657002,7.087972903643824e-06,1.429542917148393e-05,4.844802801900297,Up
STT3B,0.8539548271317737,7.726075232244492e-08,2.0110206824814434e-07,6.696583462848622,Not Significant
STUB1,-0.7515007719288034,3.1770041080195177e-13,1.7081320124160723e-12,11.767478568044945,Not Significant
STUM,-1.1514603020389653,2.4462235326067663e-06,5.239247068087208e-06,5.280731120968564,Down
STX10,-0.28106066977643196,0.041722364784906645,0.052692076564680085,1.278254685792155,Not Significant
STX11,0.46765039533058395,0.013544281296354994,0.01824070694963891,1.7389583338597154,Not Significant
STX12,-0.7493145891153821,2.7238886371838418e-08,7.459341442895713e-08,7.1272995130556565,Not Significant
STX16,-0.4742028156089838,4.675505668586213e-07,1.100573010047804e-06,5.958381141834722,Not Significant
STX17,-0.341607555293676,1.0696080023938474e-05,2.1106255349606745e-05,4.675588811943906,Not Significant
STX18,0.280148643327647,3.521752924212842e-05,6.54605824788062e-05,4.184020134588573,Not Significant
STX1A,-4.002717777115789,6.177756876455652e-15,4.619559721769173e-14,13.33539941394988,Down
STX1B,-3.7668680907094343,9.269321730957252e-14,5.500819264397608e-13,12.259572624049374,Down
STX2,0.1928967682070205,0.014055783041123059,0.01890266739987725,1.7234769071860687,Not Significant
STX3,0.2991555196183202,0.012257102276237023,0.016588763176875722,1.78018599284735,Not Significant
STX4,0.17147114016019618,0.01975331477205652,0.026066462152933102,1.583917909058832,Not Significant
STX5,-0.005619061941123472,0.9350835147432799,0.9420522943247001,0.025924988389414826,Not Significant
