Gene Symbol,GSM97800,GSM97803,GSM97804,GSM97805,GSM97807,GSM97809,GSM97811,GSM97812,GSM97816,GSM97817,GSM97820,GSM97825,GSM97827,GSM97828,GSM97833,GSM97834,GSM97840,GSM97846,GSM97848,GSM97849,GSM97850,GSM97853,GSM97855
ABCC11,8.052024560482831,6.855491443101874,7.016808287686554,7.866042497096837,6.48058827023386,7.224966365000275,7.139551352398794,6.689299160535892,7.534497433738168,7.145677455195635,6.7251958172266635,7.937815168803419,7.789207575347344,7.3110671022555955,6.506208389306745,7.754887502163468,7.052024560482831,7.467605550082998,7.285402218862249,7.466790237803096,7.427103287152841,6.131342539123261,6.4561490346479955
ABCC12,7.03121873061072,7.602884408718419,7.472487771462744,7.381975478557301,7.373300196608388,7.224001674198105,7.223036337901875,6.153805336079036,5.783980413683795,6.859224161978204,7.327328082629952,7.438791852578261,7.368942914404951,5.802193216941825,7.263973354803409,7.413627929024172,5.705977901682522,8.34562701215377,5.357552004618084,7.236492618381302,8.039467438278527,8.041111535369152,5.539158811108031
ABCC13,6.973840839533145,7.83541884047548,8.205060110544645,7.0800180290891745,7.070389327891398,6.098032082960526,3.817623257511431,6.211401637418471,6.274261661257048,7.290940402403678,6.512542955096859,7.067165427017112,5.918863237274595,6.3957483281790335,7.106432077816929,7.15279185163912,6.733354340613827,7.294620748891627,6.936637939002571,6.813781191217037,6.671010241278451,7.231701199029002,6.797012977836145
ABCC2,3.4724877714627436,4.087462841250339,4.357552004618084,3.711494906650088,4.797012977836145,3.84799690655495,2.8875252707415875,4.161887682376894,3.3645724322958563,4.578938713093386,5.963474123974886,4.37851162325373,4.070389327891398,3.232660756790275,3.8875252707415875,3.137503523749935,3.137503523749935,3.137503523749935,5.361066488794321,2.6322682154995127,5.60584986719498,3.4329594072761065,3.321928094887362
ABCC3,5.977279923499917,7.63734941083314,8.113742166049189,8.128767676685552,6.908092340818271,7.438791852578261,7.328226118787732,6.620586410451877,7.595443984589479,7.609548138999429,6.826548487290915,7.105384749247602,7.946613905412761,6.554588851677638,7.997744026059632,7.104336659814735,7.578938713093386,5.802193216941825,5.802193216941825,6.285402218862249,7.955359305242994,5.329123596291566,7.145677455195635
ABCC4,7.498250867527825,8.161383860111991,8.002815015607053,6.993221467368938,7.992655149386832,7.833522636424775,8.016251155012748,7.438791852578261,9.342741399139815,7.708739041359579,7.705286790272472,7.92184093707449,7.996049727519757,9.114002556816232,8.656067273725599,8.144658242831882,8.810250286028182,7.502235114856796,7.9501184295025755,7.752213367865143,8.471268764173582,7.630813152299126,8.046578366620329
ABCC5,10.714331389815245,10.414050944726041,10.82900913800806,10.29978040285854,10.879200317947392,10.50521609609692,10.731573601806106,10.742898858293513,10.285286613666395,10.88927579117162,10.70865283568653,10.838967519563367,10.918490592292311,10.066089190457772,10.549880908569682,10.855647166027266,10.566244354778568,10.696445975933655,10.548243944222849,10.795146776628792,10.5909612413426,10.816183681432342,10.436919708220959
ABCC6,7.726558779104974,8.213833283099293,8.659995892429977,8.171427026607544,7.25077213159993,6.727920454563199,7.978424465440858,7.664625054869297,8.471675214392045,7.894211461537772,7.6858000197448915,8.436711542137214,7.768184324776926,7.123086750981061,8.407267764244732,8.212374787567269,7.969242604434498,8.189824558880018,7.940166750482817,8.07628116657949,8.426684081849618,8.06931549454008,7.5668151540108965
ABCC6P1,7.726558779104974,8.213833283099293,8.659995892429977,8.171427026607544,7.25077213159993,6.727920454563199,7.978424465440858,7.664625054869297,8.471675214392045,7.894211461537772,7.6858000197448915,8.436711542137214,7.768184324776926,7.123086750981061,8.407267764244732,8.212374787567269,7.969242604434498,8.189824558880018,7.940166750482817,8.07628116657949,8.426684081849618,8.06931549454008,7.5668151540108965
ABCC6P2,7.726558779104974,8.213833283099293,8.659995892429977,8.171427026607544,7.25077213159993,6.727920454563199,7.978424465440858,7.664625054869297,8.471675214392045,7.894211461537772,7.6858000197448915,8.436711542137214,7.768184324776926,7.123086750981061,8.407267764244732,8.212374787567269,7.969242604434498,8.189824558880018,7.940166750482817,8.07628116657949,8.426684081849618,8.06931549454008,7.5668151540108965
ABCC8,9.385646735039611,8.603626344986193,9.395105654603528,9.15025502130218,9.118162430063126,8.87528859822269,9.634448062362308,10.232420927176076,9.899356922923111,8.847057346091336,9.194510639720585,9.23912113181231,9.235296254567086,9.189330400614905,8.7431513941125,8.435461914479276,7.347842793638155,9.888591057849974,8.888743248898258,9.452653086006235,9.328899279251406,8.876516946565,8.57061472176119
