gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
ETNPPL,-2.860607415581029,0.08778218024627588,0.1279950331163675,0.8928068829459328,Not Significant
ETS1,1.3905434531217225,0.007737077491043717,0.016608420763855616,1.7796716611157213,Up
ETV1,2.641527060963746,0.0011408668360489715,0.003630161878192464,2.4400740082315973,Up
ETV6,0.8970798457345701,0.011998650227200796,0.023747426795446135,1.6243834424215355,Not Significant
EVA1B,1.63882667506269,0.0004896804241769236,0.001884998316071199,2.7246890334270546,Up
EVA1C,-0.6281098975251282,0.2111506841026394,0.2719769839726364,0.5654678465415786,Not Significant
EVI2A,0.7266889949744133,0.1567231505269198,0.20997859002635855,0.6778249848252728,Not Significant
EVI2B,2.467317888572719,3.611027381348129e-06,5.7377744226657816e-05,4.2412565297946605,Up
EVI5,-0.006505509282963118,0.9585355803732524,0.9682429997673864,0.014015634205949918,Not Significant
EVI5L,-0.6231436905376384,0.003905291876917513,0.009581566090615447,2.0185635004282205,Not Significant
EVL,-0.37866812028299535,0.06379293454209202,0.09731223842777634,1.0118325374560875,Not Significant
EWSR1,0.5285999107241217,0.0013173537604575865,0.00404851183125373,2.392704587216331,Not Significant
EXD2,-0.17992079277522777,0.39242378099520125,0.4605938680817496,0.3366818481259915,Not Significant
EXOC1,0.5025480131690117,0.004769645837853879,0.011234372731012385,1.9494511713147313,Not Significant
EXOC2,0.02054792356977231,0.8145834591948858,0.8503744837232414,0.07038977969883518,Not Significant
EXOC3,-0.2226750919218965,0.26909503631708115,0.3352539445780702,0.47462610356313123,Not Significant
EXOC4,0.682030440188008,0.004542192275482432,0.010807285069251302,1.9662833927747714,Not Significant
EXOC5,-0.24413810188208274,0.06000741825613201,0.09246172094100244,1.0340380275297176,Not Significant
EXOC6,-1.1026764688362434,1.4839618398233034e-06,3.156752118449547e-05,4.5007595194115915,Down
EXOC6B,-0.7959906223735089,0.0033130601893957977,0.008387978976620575,2.076342666708019,Not Significant
EXOC7,0.2453175122632878,0.051677541391902476,0.08137376197441608,1.0895156057573256,Not Significant
EXOC8,-0.600119527283713,0.007972261861653646,0.0170237984688276,1.7689435306206054,Not Significant
EXOG,0.4989170669064471,0.0701694612177089,0.10567904803516212,0.9760111075333681,Not Significant
EXOSC1,0.46674974966294513,0.01615274368216678,0.03031912425081948,1.5182833471867327,Not Significant
EXOSC10,0.5584173712108402,0.0046603907390255364,0.01103520438239906,1.9572196188841906,Not Significant
EXOSC2,0.6597872362496489,0.0003622198097294912,0.00149060554052896,2.826637268845281,Not Significant
EXOSC3,0.5603264176195388,0.0005693510530191292,0.0021086920985715837,2.6759868292948594,Not Significant
EXOSC4,1.2510250954798572,0.0002865351820819127,0.0012537056939083485,2.9018044017131968,Up
EXOSC5,0.5094602955400056,0.048586245907664194,0.0773357309644192,1.1116198052364081,Not Significant
EXOSC6,-1.1713752719048323,1.339731187529722e-07,6.714652727947473e-06,5.1729764434920815,Down
EXOSC7,0.677195110433658,0.003165558753581686,0.008090726140427027,2.092012498829206,Not Significant
EXOSC8,1.2578582911060359,2.8042777551670847e-05,0.00023581213777590327,3.627433844561411,Up
EXOSC9,0.46955409988347085,0.08554260695440498,0.12520067157615514,0.9023933415645978,Not Significant
EXT2,0.3297252530038115,0.048147677583710295,0.07671037545125692,1.1151458916379147,Not Significant
EXTL2,-0.27249471920204016,0.26759437278971065,0.33363189498558726,0.4767324377881728,Not Significant
EXTL3,-0.625451997965996,0.028593621529503076,0.04894683828176958,1.3102753561821519,Not Significant
EYA3,0.28247267050921465,0.0381687068430725,0.06283000878957984,1.2018328795285975,Not Significant
EYA4,-1.5057386984594707,0.3486067051928051,0.41693742705833065,0.37992911798155715,Not Significant
EZH1,-0.5860881021336368,0.0031229153708671425,0.008007189983740289,2.0965198670203407,Not Significant
EZH2,3.5674821874822236,9.45066408763419e-07,2.2614249410647704e-05,4.6456178223431595,Up
EZR,1.1578521467851601,0.011439904862903805,0.022829952771175305,1.6414949869433682,Up
F10,-1.1262726074359612,0.02504893105955473,0.04381714386073179,1.358355934533178,Down
F11,-0.07057896105448691,0.9276332534596661,0.9445095406663307,0.024793650830750965,Not Significant
F11R,0.10624246904205847,0.7771335974294297,0.8167807887849843,0.08789448568950002,Not Significant
F12,0.011205717321708164,0.9876220334628557,0.9919545727921045,0.003508216190031724,Not Significant
F13A1,2.1999763450986585,0.05060723301578703,0.08000494010610512,1.0968831955757856,Not Significant
F13B,5.72939239511458,0.024543194679120438,0.04304459317504514,1.3660813924498616,Up
F2,-0.0620288259976185,0.9240637637337273,0.9420176437819844,0.02594096289141573,Not Significant
F2R,4.735858527953299,1.3571454394450923e-09,4.4850932291605275e-07,6.348228525086075,Up
F3,-1.6815013832002812,0.0383614842974372,0.06308416467717635,1.2000796432345073,Not Significant
F5,0.8872580098884679,0.47553435131139987,0.5416091639469804,0.2663139960623201,Not Significant
F7,-1.33950396426828,0.01244334519746791,0.024497607879478547,1.6108763211645658,Down
F8A2,-0.9784038214475758,0.34659350708733416,0.4151703912482526,0.38177362668180337,Not Significant
F9,0.0,1.0,1.0,-0.0,Not Significant
FA2H,-1.8742215921218488,0.07895291423052225,0.11691484021141867,0.9321303595578094,Not Significant
FAAH,-1.6118843443360795,0.0008435117693984445,0.0028534377316722396,2.5446316002785796,Down
FABP3,-3.2297977352769394,4.129103706484635e-07,1.3039683617280944e-05,4.884732945792439,Down
FABP4,3.53307606809774,0.012718131215284005,0.02493830477725284,1.603133071743892,Up
FABP5,-2.019998216121367,0.01020020905545622,0.020771733099001793,1.6825272663954598,Down
FABP6,-3.6136859228630076,0.006644117712463534,0.014639729185336318,1.834466957048248,Down
FABP7,-0.23450931627449023,0.756402383722111,0.7999157688029127,0.09695574184559426,Not Significant
FADD,1.243305545538707,0.0015084717375913458,0.004501286814127731,2.3466633136946045,Up
FADS1,0.8573660051382106,0.0013749859849773753,0.004171464046862489,2.379711495174134,Not Significant
FADS2,2.0647423288998077,0.0012308430050906047,0.0038436182372234198,2.4152597546405397,Up
FADS3,0.42256673971931846,0.23010850776735306,0.29306107550547594,0.5330418609057377,Not Significant
FAF1,-0.1298517614888759,0.25588300165089917,0.3211368330174608,0.49330987986220465,Not Significant
FAF2,0.2169038616231056,0.06621271780500373,0.10038142857415766,0.9983466279659873,Not Significant
FAH,1.0200911334887497,0.004210158443863071,0.010158835009215945,1.9931560930440666,Up
FAHD1,0.10085417550413212,0.6649725691431446,0.717230584748184,0.14434119916541135,Not Significant
FAHD2A,0.018818465469802703,0.8938531694412275,0.9162267835725403,0.03799701687368457,Not Significant
FAHD2B,-3.1498103294816797,0.0014610167426409046,0.004388277479238066,2.357705918952411,Down
FAIM,0.5183827272602066,0.11150972235083582,0.15717138046781762,0.8036265323199352,Not Significant
FAIM2,-3.6314222430824046,0.0002435439904194192,0.0011156022757941079,2.952490608457785,Down
FAM102A,-0.04787298735869072,0.8682905342056094,0.895033136353966,0.04816088572399819,Not Significant
FAM102B,-1.3331601526553634,2.2724998261510057e-05,0.00020295357489933717,3.6926032944556795,Down
FAM107A,-2.968702380546393,0.0011589037627442308,0.003674786435595021,2.434767895365553,Down
FAM107B,0.019167227516955876,0.955880552997002,0.9662392826501905,0.014915310162049344,Not Significant
FAM110B,0.8485921027044832,0.03222116988511627,0.05423964496595985,1.2656831618738316,Not Significant
FAM110C,-3.4911331902776297,0.0025124754147933135,0.006763943700862598,2.1698000158741872,Down
FAM111A,2.8218203379246916,1.1642787815773982e-05,0.00012584704340784023,3.9001569831092087,Up
FAM114A1,1.3760515871711565,0.022271220942448152,0.039707029033783245,1.4011326065775982,Up
FAM114A2,0.72812530612023,0.0006987377024083706,0.0024621350100627435,2.608688136409725,Not Significant
FAM117B,-0.7282345795703229,1.7005605783632217e-08,1.862113833307728e-06,5.7299937735876005,Not Significant
FAM118A,0.31703735126317056,0.6199475152031707,0.6771496550099471,0.16931533846054547,Not Significant
FAM118B,0.195459825011433,0.16083931637273688,0.21489327229959568,0.667777180827299,Not Significant
FAM120A,0.3745749708870605,7.413692213312311e-05,0.0004612684786785757,3.336046222399519,Not Significant
FAM120B,0.18370334355034146,0.4824335219634074,0.5484129203632776,0.2608923219781195,Not Significant
FAM120C,1.0065922023136977,0.0012535321784640139,0.003898759853611138,2.4090735146102955,Up
FAM122A,0.20054319584574287,0.040844470801883886,0.06655891278844682,1.1767937806751831,Not Significant
FAM122B,-0.7440047822967486,0.018846528616264516,0.034589165472809026,1.4610599160118356,Not Significant
FAM124A,-0.948080851482791,0.07145057893896373,0.10727170376022663,0.9695148215702941,Not Significant
FAM126A,1.1036531591636312,0.07759156172258692,0.11508501071751187,0.9389812375047598,Not Significant
FAM126B,-1.3782567199472915,3.0601772412590286e-07,1.1049543200158945e-05,4.956655675802489,Down
FAM129A,2.7374457610073453,0.003824208003920798,0.00941933286833695,2.0259798553663537,Up
FAM129B,1.7732263443492187,0.013218593154535933,0.025687520725076195,1.590277810384426,Up
FAM131B,-1.8654601418203036,0.0004186456762732492,0.0016682897716680035,2.7777285128670846,Down
FAM135A,0.3658282599804288,0.04832323123380149,0.07692946135449281,1.113907308399253,Not Significant
FAM136A,0.18516464501772845,0.27213299200298807,0.33832750357128244,0.47066269578659586,Not Significant
FAM13A,-0.08327182600769234,0.6861335171561339,0.7367415318515128,0.1326848472544818,Not Significant
FAM13C,-0.7848467791074114,0.06988150430721018,0.10527684677595864,0.9776671314078318,Not Significant
FAM151B,-0.12281815863479473,0.5660541938966351,0.6272610218143991,0.20255169881188612,Not Significant
