Gene Symbol,log2FC,pval,p_adj,neg_log10_p
ACRC,-0.2037887025785441,0.02728382906971978,0.0922312989670267,1.0351216748031955
ACRV1,-0.13904149347517958,0.03157211885980677,0.10232744486965273,0.9900078701303885
ACSBG1,-0.7288048505534395,0.007689652780247609,0.03754017603565044,1.4255036951901026
ACSBG2,-0.13679320545400486,0.19971807574164321,0.3655431424122751,0.43706135904572097
ACSF2,-0.16861485460544134,0.09165140019663454,0.21395529909548658,0.6696769527442955
ACSF3,-0.0031101417175598556,0.9774756106604399,0.9891949434453989,0.004718112326281675
ACSL1,0.32049328801227617,0.11050727782805612,0.2439042032924855,0.612780715262314
ACSL3,-0.060852291484380316,0.6534381501485225,0.7863327682792067,0.10439362591542857
ACSL4,0.3955645385471156,0.0019025955047898282,0.014054912663766635,1.8521718487233543
ACSL5,0.27829486196374464,0.01615231173809367,0.06376737460923187,1.1954014631475225
ACSL6,-0.9249529344844554,0.0002519585240134254,0.0033132779346793247,2.4797421317501795
ACSM1,-0.12899710464958947,0.5923936008881233,0.7407529521266384,0.13032660904837817
ACSM2A,-0.013051021277786568,0.9223674504846526,0.9587073681012671,0.018313934865675157
ACSM2B,-0.09222000512311368,0.42850733120291234,0.6028512821074762,0.21978981112018633
ACSM3,-0.06222247880826526,0.6990801815314712,0.8194722412327256,0.08646575311682905
ACSM5,-0.873034670191509,1.7941594201517163e-05,0.0005349811492301127,3.2716615206508766
ACSS1,-0.5286646756902975,0.00034414824039848526,0.004122709427005442,2.3848172736621813
ACSS2,0.14647304913831327,0.09046007508056185,0.21203291847023692,0.6735967088818337
ACSS3,0.6892356624954967,0.021634246277021183,0.07841217283584967,1.1056165114856193
ACTA1,-0.1861674045269881,0.43255192079005006,0.6066255197437419,0.21707932358229592
ACTA2,0.977834630206635,4.739048796491314e-06,0.00021933554103760884,3.6588909897274737
ACTB,0.03280681154161336,0.37090024208898115,0.5491665730631066,0.26029590547761455
ACTBP9,0.05248828853095766,0.7788938211209844,0.8716699669714969,0.059647917193467306
ACTC1,0.3791805165445883,0.058789657836781195,0.15779523642777002,0.8019061115471309
ACTG1,0.06622924636642402,0.24028170985694897,0.4142577886702974,0.3827293174415585
ACTG1P4,-0.005616971155527395,0.9679815865854786,0.9838624004647575,0.007065636220584915
ACTG2,0.5655295258371718,1.3363597044646609e-05,0.00043436791004660503,3.3621422667628256
ACTL10,0.23206208670900086,0.2924251247810388,0.47181417470324094,0.3262290157545204
ACTL6A,0.8078402404938902,1.778139054729884e-10,2.172504243160259e-07,6.663039366649475
ACTL6B,-0.26163081347048855,0.5102940417672287,0.6779507113400498,0.168801879246719
ACTL7A,-0.1584561044290922,0.04380761107667052,0.12814839788710022,0.892286819000932
ACTL7B,-0.5240626736201683,0.005047565253974542,0.027602323156508037,1.5590543638915848
ACTL8,0.03798788503567874,0.6871259737382195,0.8108601399277374,0.09105404800300837
ACTL9,-0.20414282568681674,0.4623010811198901,0.6340520528919964,0.1978750869829402
ACTN1,0.961101154524771,0.00034114086823205567,0.004108941479099014,2.3862700440594624
ACTN2,-0.2466603837544934,0.002805436971939752,0.018149676400236767,1.7411311138148862
ACTN3,-0.23890551788229697,0.0030027526280422775,0.01906040651491356,1.7198678410900805
ACTN4,0.08782513877637577,0.5433529540170244,0.7047735241170524,0.1519504192183709
ACTR10,-0.018896918500622917,0.80357491404636,0.8874421579026353,0.05185994398818896
ACTR1A,-0.3819384993492374,0.0020162879436902903,0.014640781146373218,1.8344357512483132
ACTR1B,-0.1264488825525838,0.05324010168768297,0.14707172245111852,0.8324708212492293
ACTR2,-0.03249334499718515,0.6894691366808111,0.8125545485709642,0.09014747422827324
ACTR3,0.2109808130324442,7.85296549343573e-05,0.0014485410808282762,2.8390691836331285
ACTR3B,0.07564858655362361,0.539709763879275,0.7016622418777336,0.1538718932664689
