Name,Description,GTEX-NPJ7,GTEX-P44H,GTEX-Q2AG,GTEX-QVJO,GTEX-UTHO,GTEX-WVLH,GTEX-Y8DK
ENSG00000028137,TNFRSF1B,923,405,460,532,407,359,373
ENSG00000263676,MIR4632,0,0,0,0,0,0,0
ENSG00000225196,RPL10P17,0,0,0,0,0,0,0
ENSG00000252969,SNORA70,0,0,0,0,0,0,0
ENSG00000048707,VPS13D,7010,3836,11531,6730,6638,15897,5008
ENSG00000239149,SNORA59A,1,0,7,1,3,5,0
ENSG00000229484,RP5-888M10.2,0,1,0,2,0,0,0
ENSG00000162496,DHRS3,1429,880,1050,478,1148,780,576
ENSG00000221340,RNU6ATAC18P,0,0,0,0,9,1,0
ENSG00000276830,MIR6730,0,0,0,0,0,0,0
ENSG00000272482,RP11-474O21.5,4,3,6,1,0,5,4
ENSG00000204518,AADACL4,0,1,0,0,0,0,0
ENSG00000226166,RP11-474O21.2,0,0,0,0,0,0,0
ENSG00000188984,AADACL3,1,0,4,0,0,0,0
ENSG00000157330,C1orf158,5,7,1,2,0,0,2
ENSG00000116726,PRAMEF12,0,0,1,0,0,0,0
ENSG00000116721,PRAMEF1,0,0,1,0,0,0,0
ENSG00000228338,LINC01784,0,0,0,0,0,0,0
ENSG00000239810,PRAMEF11,0,0,0,0,0,0,0
ENSG00000231103,PRAMEF30P,0,0,0,0,0,0,0
ENSG00000179172,HNRNPCL1,0,8,4,3,0,1,1
ENSG00000120952,PRAMEF2,0,0,0,0,0,0,0
ENSG00000243073,PRAMEF4,0,0,0,0,0,0,0
ENSG00000187545,PRAMEF10,0,0,0,0,0,0,0
ENSG00000204510,PRAMEF7,0,0,0,0,0,0,0
ENSG00000207434,RNU6-1072P,0,0,0,0,0,0,0
ENSG00000234064,PRAMEF29P,0,0,0,0,0,0,0
ENSG00000232423,PRAMEF6,0,0,0,0,0,0,0
ENSG00000274178,PRAMEF28P,0,0,0,0,0,0,0
ENSG00000274764,PRAMEF27,0,0,0,0,0,0,0
ENSG00000277058,HNRNPCL3,0,1,0,0,0,1,0
ENSG00000229571,PRAMEF25,0,0,0,0,0,0,0
ENSG00000277862,PRAMEF34P,0,0,0,0,0,0,0
ENSG00000236179,PRAMEF35P,0,0,0,0,0,0,0
ENSG00000275774,HNRNPCL2,0,3,0,1,0,0,0
ENSG00000229978,PRAMEF36P,0,0,0,0,0,0,0
ENSG00000233336,RP13-221M14.2,0,0,0,0,0,0,0
ENSG00000280267,PRAMEF26,0,0,0,0,0,0,0
ENSG00000179412,HNRNPCL4,0,2,0,2,0,0,0
ENSG00000204505,PRAMEF9,0,0,0,0,0,0,0
ENSG00000279169,PRAMEF13,0,0,0,0,0,0,0
ENSG00000279804,PRAMEF18,1,0,0,0,0,0,0
ENSG00000250894,PRAMEF31P,0,0,0,0,0,0,0
ENSG00000270601,PRAMEF5,0,0,0,0,0,0,0
ENSG00000231219,PRAMEF32P,0,0,0,0,0,0,0
